lookup_id,membership_id
100359,43325
100360,43326
100361,43327
100362,43328
100363,43330
100364,43331
100366,43332
100367,52301
100368,43333
100369,43334
100370,43335
100371,43336
100372,43337
100373,43338
100374,43340
100375,43341
100376,43342
100377,43345
100379,43347
100380,43348
100381,43349
100382,43350
100383,43351
100384,43352
100385,43353
100386,43355
100387,43356
100388,43358
100389,43359
100390,43360
100391,43361
100392,43362
100393,43363
100394,43365
100395,43366
100396,43367
100397,43368
100398,43370
100399,43371
100400,43372
100401,43375
100402,43376
100403,43377
100404,43378
100405,43379
100409,43383
100410,43384
100411,43385
100412,43386
100413,43387
100414,43388
100415,43389
100416,43390
100417,43391
100418,43392
100419,43394
100420,43395
100421,43396
100422,43397
100423,43398
100424,43399
100425,43400
100428,43403
100429,43404
100430,43406
100431,43407
100432,43408
100433,43409
100434,43410
100435,43411
100436,43412
100437,43413
100439,43414
100441,43416
100443,43417
100445,43418
100447,43419
100449,43421
100450,43422
100451,43423
100452,43424
100453,43425
100454,43426
100455,43428
100456,43429
100457,43430
100458,43431
100459,43432
100460,43433
100461,43434
100462,43435
100463,43436
100464,43438
100465,43439
100466,43440
100467,43441
100468,43442
100469,43444
100470,43445
100471,43446
100472,43447
100473,43448
100474,43449
100475,43450
100476,43454
100477,43451
100478,43452
100479,43453
100480,43455
100481,43456
100482,43457
100483,43458
100484,43459
100485,43461
100486,43463
100487,43464
100488,43465
100489,43466
100490,43467
100491,43468
100492,43469
100493,43470
100494,43471
100495,43472
100496,43473
100497,43475
100498,43477
100499,43478
100500,43479
100501,43480
100502,43481
100503,43482
100504,43483
100506,43485
100508,43487
100510,43488
100512,43489
100513,43490
100514,43491
100515,43492
100517,43495
100520,43496
100521,43497
100522,43498
100523,43499
100523,8-10059612
100524,43500
100525,43501
100526,43502
100527,43503
100528,43504
100529,43505
100530,43506
100531,43507
100533,43508
100534,43565
100535,43509
100536,43510
100537,43511
100538,43512
100539,43513
100540,43514
100541,43515
100543,43516
100545,43517
100546,43518
100547,43519
100548,43520
100549,43521
100550,43522
100551,43523
100552,43524
100553,43525
100554,43526
100555,43527
100556,43528
100557,43529
100558,43530
100559,43531
100561,43533
100563,43534
100564,43537
100565,43538
100566,43539
100567,43541
100568,43542
100569,43543
100570,43544
100571,43545
100572,43546
100573,43547
100574,43548
100575,43549
100576,43550
100578,43551
100579,43552
100580,43554
100581,43556
100582,43558
100585,43559
100586,44910
100589,43560
100590,43561
100591,43562
100592,43563
100593,43564
100594,43567
100595,43569
100596,43570
100597,43571
100598,43572
100599,43573
100600,43574
100601,43576
100602,61317
100605,43579
100606,43580
100607,43581
100608,43582
100609,43583
100610,43584
100611,43585
100612,43586
100613,43587
100614,43590
100615,43591
100616,43592
100617,43593
100618,43594
100619,43595
100620,43596
100621,43597
100622,43598
100623,43612
100624,43600
100625,43601
100626,43602
100627,43603
100628,43604
100629,43607
100630,43614
100631,43609
100632,43610
100633,43611
100634,43615
100635,43617
100636,43618
100637,43619
100638,43620
100639,43621
100640,43622
100641,43623
100642,43624
100643,43625
100644,43626
100645,43627
100646,43629
100647,43630
100648,43631
100649,43632
100650,43634
100651,43635
100652,43636
100653,43637
100654,43639
100655,43638
100656,43641
100657,43642
100658,43643
100659,43644
100660,43645
100661,43646
100662,43657
100663,43671
100664,43647
100665,43648
100667,43649
100671,43663
100672,43664
100674,43667
100675,14424
100675,43669
100676,43670
100677,43672
100678,43673
100679,43674
100682,43676
100683,43677
100684,43678
100685,43679
100686,43923
100687,43689
100688,43690
100689,43691
100690,43692
100692,43693
100693,43695
100694,43696
100695,43697
100696,43698
100697,43699
100698,43700
100699,43701
100700,43702
100701,43709
100716,48200
100718,43767
100719,43771
100721,43773
100722,43774
100723,43780-1438
100724,43785
100726,43790
100730,43794
100735,43795
100736,43796
100737,43797
100738,43800
100739,43801
100740,43802
100741,43803
100742,43805
100743,43806
100744,43807
100745,43808
100746,43809
100747,43810
100748,43812
100749,43813
100750,43814
100753,43827
100754,43828
100755,43829
100756,43830
100757,43831
100762,43836
100765,43837-1438
100766,43838
100767,43839
100769,43840
100771,43841
100772,43842
100774,43843
100775,43844
100776,43845
100777,43847
100778,43848
100779,43849
100780,43850
100781,43851
100782,43852
100783,43853
100784,43854
100785,43855
100786,43856
100788,43858
100791,43871
100792,43872
100793,43873
100794,43874
100795,43876
100796,43877
100797,43878
100798,43879
100799,43880
100800,43881
100802,43884
100803,43885
100804,43886
100805,43888
100807,43892
100808,43893
100809,43894
100810,43896
100811,43895
100812,43897-1438
100813,43898
100815,43900
100816,43901
100817,43902
100818,43903
100819,43904
100820,43912
100824,43908
100825,43909
100826,43910
100828,43913
100829,43916
100830,43918
100831,43919-1438
100832,43921
100833,43922
100834,43925
100836,43926
100837,43927
100838,43928
100839,43929
100842,66468
100843,43930
100844,43932
100845,43933
100846,43934
100847,43935
100848,43936
