lookup_id,status,attend,event_id
111190,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111463,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111466,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
111483,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111483,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
111579,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
111650,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111861,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111875,Registered,Yes,90927b93-07cf-4d47-bc16-1e0da1bc5576
111875,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
112126,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112161,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112200,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112227,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112380,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
11245,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112658,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112700,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112705,Registered,No,21327acb-aa7d-4000-9532-0a9c864addd3
112705,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
112705,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
113008,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
113039,Registered,No,688982c6-4e8f-4b40-8987-d004710a4de7
113057,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
113245,Registered,No,688982c6-4e8f-4b40-8987-d004710a4de7
113255,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
113321,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
113352,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
113412,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
113531,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
113548,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
113706,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
113781,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
113846,Will not attend,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
113897,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
11394,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
